date,price,open,high,low,total_volume,market_cap,coin_id,symbol
2024-02-13,2642.185302734375,2659.586181640625,2686.455078125,2599.16943359375,18271237044,48275993980432.664,ethereum,ETH
2024-02-14,2777.90234375,2641.685302734375,2786.8935546875,2621.025390625,21448973822,59583154651166.195,ethereum,ETH
2024-02-15,2824.37890625,2777.601318359375,2865.845458984375,2764.010498046875,23734481937,67035170133634.44,ethereum,ETH
2024-02-16,2803.69140625,2825.480712890625,2858.450439453125,2760.3310546875,17057114638,47822885725981.68,ethereum,ETH
2024-02-17,2786.672607421875,2803.73583984375,2805.128662109375,2724.386962890625,17932379943,49971671973039.55,ethereum,ETH
2024-02-18,2878.998046875,2786.709716796875,2892.843505859375,2767.9130859375,23355830478,67241390329305.59,ethereum,ETH
2024-02-19,2943.57470703125,2881.296875,2983.37060546875,2860.263671875,15163110589,44633748809698.12,ethereum,ETH
2024-02-20,3013.503662109375,2944.1064453125,3031.5244140625,2879.9033203125,20341598470,61299481482503.46,ethereum,ETH
2024-02-21,2970.35546875,3015.6533203125,3017.1904296875,2875.41845703125,18897136867,56131213836610.69,ethereum,ETH
2024-02-22,2971.00732421875,2969.599853515625,3030.666015625,2907.109375,18058908246,53653148666260.38,ethereum,ETH
2024-02-23,2921.658203125,2970.1396484375,2991.32958984375,2906.583740234375,12822717059,37463596481778.23,ethereum,ETH
2024-02-24,2992.385986328125,2921.962890625,3003.195068359375,2907.70068359375,10701688842,32023583720844.86,ethereum,ETH
2024-02-25,3112.697265625,2992.36669921875,3117.428955078125,2984.39306640625,14620450464,45509036181498.56,ethereum,ETH
2024-02-26,3178.99365234375,3112.529052734375,3197.375,3037.95458984375,17504464351,55646581059506.46,ethereum,ETH
2024-02-27,3244.519287109375,3178.405029296875,3287.9580078125,3167.83056640625,21090315368,68427934982695.26,ethereum,ETH
2024-02-28,3385.703857421875,3243.893310546875,3485.450927734375,3201.575927734375,32885894265,111341899067778.42,ethereum,ETH
2024-02-29,3341.919677734375,3386.802734375,3518.96923828125,3303.9052734375,28469171094,95141683087825.27,ethereum,ETH
2024-03-01,3435.053955078125,3341.9658203125,3452.626220703125,3341.85107421875,16880101987,57984061092566.47,ethereum,ETH
2024-03-02,3422.0498046875,3436.1591796875,3459.747314453125,3398.89892578125,12024340617,41147892459900.82,ethereum,ETH
2024-03-03,3490.99365234375,3422.875244140625,3491.16845703125,3372.214111328125,13643324467,47628759111163.18,ethereum,ETH
2024-03-04,3630.433837890625,3489.340087890625,3641.459228515625,3446.017578125,26772963830,97197473829053.78,ethereum,ETH
2024-03-05,3554.964599609375,3631.928955078125,3828.15966796875,3224.119384765625,47706899137,169596337589170.03,ethereum,ETH
2024-03-06,3819.226318359375,3554.06787109375,3901.434326171875,3502.802490234375,34938642613,133438583395321.97,ethereum,ETH
2024-03-07,3874.34765625,3818.31103515625,3939.593994140625,3738.685302734375,22457177587,87006913350183.48,ethereum,ETH
2024-03-08,3892.06103515625,3874.830810546875,3998.826416015625,3828.36328125,26135487051,101720910786027.83,ethereum,ETH
2024-03-09,3915.4189453125,3892.119140625,3950.396484375,3880.658935546875,11926623780,46697728701826.58,ethereum,ETH
2024-03-10,3881.193115234375,3915.590576171875,3968.7236328125,3800.564453125,15783924355,61260458538006.17,ethereum,ETH
