date,price,open,high,low,total_volume,market_cap,coin_id,symbol
2024-02-13,49742.44140625,49941.359375,50358.390625,48406.49609375,35593051468,1770485277116630.5,bitcoin,BTC
2024-02-14,51826.6953125,49733.4453125,52021.37109375,49296.83203125,39105608050,2026714433417397.2,bitcoin,BTC
2024-02-15,51938.5546875,51836.78515625,52820.06640625,51371.62890625,38564360533,2002977148531687.2,bitcoin,BTC
2024-02-16,52160.203125,51937.7265625,52537.96875,51641.3671875,28180567298,1469904114441412.5,bitcoin,BTC
2024-02-17,51662.99609375,52161.67578125,52191.9140625,50669.66796875,20009091006,1033729590482466.2,bitcoin,BTC
2024-02-18,52122.546875,51661.96875,52356.96484375,51233.70703125,17595377311,917115878675909.0,bitcoin,BTC
2024-02-19,51779.14453125,52134.8125,52483.32421875,51711.8203125,21362184346,1106115630754740.2,bitcoin,BTC
2024-02-20,52284.875,51777.7265625,52945.05078125,50792.3125,33353758256,1743897081195178.0,bitcoin,BTC
2024-02-21,51839.1796875,52273.53515625,52368.81640625,50671.7578125,28624907020,1483891698547760.2,bitcoin,BTC
2024-02-22,51304.97265625,51854.64453125,52009.61328125,50926.29296875,25413900611,1303859475936010.2,bitcoin,BTC
2024-02-23,50731.94921875,51283.90625,51497.93359375,50561.77734375,21427078270,1087037446699821.6,bitcoin,BTC
2024-02-24,51571.1015625,50736.37109375,51684.1953125,50585.4453125,15174077879,782543911415193.6,bitcoin,BTC
2024-02-25,51733.23828125,51565.21484375,51950.02734375,51306.171875,15413239245,797376778547498.9,bitcoin,BTC
2024-02-26,54522.40234375,51730.5390625,54938.17578125,50931.03125,34074411896,1857818795020373.2,bitcoin,BTC
2024-02-27,57085.37109375,54519.36328125,57537.83984375,54484.19921875,49756832031,2840387220939021.5,bitcoin,BTC
2024-02-28,62504.7890625,57071.09765625,63913.1328125,56738.42578125,83239156760,5202845935024171.0,bitcoin,BTC
2024-02-29,61198.3828125,62499.18359375,63585.64453125,60498.73046875,65496611844,4008286724550833.5,bitcoin,BTC
2024-03-01,62440.6328125,61168.0625,63155.1015625,60802.52734375,40186368423,2509262274768387.5,bitcoin,BTC
2024-03-02,62029.84765625,62431.65234375,62458.69921875,61657.2890625,23888473685,1481798383420887.0,bitcoin,BTC
2024-03-03,63167.37109375,62031.578125,63230.2109375,61435.0234375,26253811450,1658384250487492.8,bitcoin,BTC
2024-03-04,68330.4140625,63137.00390625,68537.03125,62386.51953125,70670471105,4828942552596592.0,bitcoin,BTC
2024-03-05,63801.19921875,68341.0546875,69170.625,59323.91015625,102802940877,6558950911166855.0,bitcoin,BTC
2024-03-06,66106.8046875,63776.05078125,67637.9296875,62848.671875,68750229073,4544857965549695.0,bitcoin,BTC
2024-03-07,66925.484375,66099.7421875,68029.921875,65655.53125,46989543159,3144797936476042.5,bitcoin,BTC
2024-03-08,68300.09375,66938.09375,70083.0546875,66230.453125,59202881172,4043562334317710.0,bitcoin,BTC
2024-03-09,68498.8828125,68299.2578125,68673.0546875,68053.125,21609650379,1480236908930217.2,bitcoin,BTC
2024-03-10,69019.7890625,68500.2578125,70005.203125,68239.9765625,35683977532,2462900602169629.5,bitcoin,BTC
2024-03-11,72123.90625,69020.546875,72850.7109375,67194.8828125,65716656765,4739741991582288.0,bitcoin,BTC
2024-03-12,71481.2890625,72125.125,72825.65625,68728.8515625,62554434520,4471471616065348.5,bitcoin,BTC
2024-03-13,73083.5,71482.1171875,73637.4765625,71334.09375,48212536929,3523540942650571.5,bitcoin,BTC
2024-03-14,71396.59375,73079.375,73750.0703125,68563.0234375,59594605698,4254851852711541.0,bitcoin,BTC
2024-03-15,69403.7734375,71387.875,72357.1328125,65630.6953125,78320453976,5435735043272450.0,bitcoin,BTC
2024-03-16,65315.1171875,69392.484375,70046.2734375,64801.39453125,46842198371,3059503675921986.5,bitcoin,BTC
2024-03-17,68390.625,65316.34375,68845.71875,64545.31640625,44716864318,3058214298748219.0,bitcoin,BTC
2024-03-18,67548.59375,68371.3046875,68897.1328125,66594.2265625,49261579492,3327550420588439.5,bitcoin,BTC
2024-03-19,61912.7734375,67556.1328125,68106.9296875,61536.1796875,74215844794,4594908784203586.0,bitcoin,BTC
2024-03-20,67913.671875,61930.15625,68115.2578125,60807.78515625,66792634382,4536133055085991.0,bitcoin,BTC
2024-03-21,65491.390625,67911.5859375,68199.9921875,64580.91796875,44480350565,2913080013989354.5,bitcoin,BTC
2024-03-22,63778.76171875,65489.9296875,66623.75,62355.37109375,41401116964,2640511973737054.5,bitcoin,BTC
2024-03-23,64062.203125,63802.72265625,65976.3984375,63038.4921875,24738964812,1584832588888571.5,bitcoin,BTC
2024-03-24,67234.171875,64070.75390625,67622.7578125,63825.8515625,27206630673,1829215282808129.0,bitcoin,BTC
2024-03-25,69958.8125,67234.09375,71162.59375,66414.8359375,42700139523,2987251054613396.5,bitcoin,BTC
2024-03-26,69987.8359375,69931.328125,71535.7421875,69335.609375,36010437368,2520292582549203.5,bitcoin,BTC
2024-03-27,69455.34375,69991.8984375,71727.6875,68381.9296875,40827113309,2835661189196795.0,bitcoin,BTC
2024-03-28,70744.953125,69452.7734375,71546.0234375,68895.5078125,34374900617,2431850732826198.5,bitcoin,BTC
2024-03-29,69892.828125,70744.796875,70913.09375,69076.65625,25230851763,1763455585718712.2,bitcoin,BTC
2024-03-30,69645.3046875,69893.4453125,70355.4921875,69601.0625,17130241883,1193040915312108.8,bitcoin,BTC
2024-03-31,71333.6484375,69647.78125,71377.78125,69624.8671875,20050941373,1430306802742505.5,bitcoin,BTC
2024-04-01,69702.1484375,71333.484375,71342.09375,68110.6953125,34873527352,2430759780028320.5,bitcoin,BTC
2024-04-02,65446.97265625,69705.0234375,69708.3828125,64586.59375,50705240709,3318504502210497.5,bitcoin,BTC
2024-04-03,65980.8125,65446.671875,66914.3203125,64559.8984375,34488018367,2275547473369583.0,bitcoin,BTC
2024-04-04,68508.84375,65975.6953125,69291.2578125,65113.796875,34439527442,2359412204347815.0,bitcoin,BTC
2024-04-05,67837.640625,68515.7578125,68725.7578125,66011.4765625,33748230056,2289400302268751.5,bitcoin,BTC
2024-04-06,68896.109375,67840.5703125,69629.6015625,67491.71875,19967785809,1375702755073436.8,bitcoin,BTC
2024-04-07,69362.5546875,68897.109375,70284.4296875,68851.6328125,21204930369,1470828142364392.0,bitcoin,BTC
2024-04-08,71631.359375,69362.5546875,72715.359375,69064.2421875,37261432669,2669087074340504.5,bitcoin,BTC
2024-04-09,69139.015625,71632.5,71742.5078125,68212.921875,36426900409,2518520036548170.0,bitcoin,BTC
2024-04-10,70587.8828125,69140.2421875,71093.4296875,67503.5625,38318601774,2704828971561966.5,bitcoin,BTC
2024-04-11,70060.609375,70575.734375,71256.234375,69571.8125,30153382941,2112564383564189.8,bitcoin,BTC
2024-04-12,67195.8671875,70061.3828125,71222.7421875,65254.8359375,44129299406,2965306541962998.5,bitcoin,BTC
2024-04-13,63821.47265625,67188.375,67931.4296875,60919.10546875,52869738185,3374224549917074.0,bitcoin,BTC
2024-04-14,65738.7265625,63836.23046875,65824.4296875,62205.8515625,49084320047,3226740694075970.0,bitcoin,BTC
2024-04-15,63426.2109375,65739.6484375,66878.6484375,62332.0703125,43595917654,2765123869136484.0,bitcoin,BTC
2024-04-16,63811.86328125,63419.296875,64355.66796875,61716.40234375,42847528078,2734180603652856.5,bitcoin,BTC
2024-04-17,61276.69140625,63831.84765625,64486.36328125,59768.5859375,41915247049,2568427658638304.0,bitcoin,BTC
2024-04-18,63512.75390625,61275.31640625,64125.6875,60833.48046875,36006307335,2286859736840659.5,bitcoin,BTC
2024-04-19,63843.5703125,63510.75,65481.59765625,59651.390625,49920425401,3187098189118654.5,bitcoin,BTC
2024-04-20,64994.44140625,63851.1015625,65442.45703125,63172.40234375,23097485495,1501208167636486.8,bitcoin,BTC
2024-04-21,64926.64453125,64992.81640625,65723.2421875,64277.72265625,20506644853,1331427640899318.5,bitcoin,BTC
2024-04-22,66837.6796875,64935.6328125,67233.9609375,64548.1796875,28282686673,1890349152551899.0,bitcoin,BTC
2024-04-23,66407.2734375,66839.890625,67199.2421875,65864.8671875,24310975583,1614425603072667.0,bitcoin,BTC
2024-04-24,64276.8984375,66408.71875,67075.3671875,63589.87109375,30276655120,1946089486175454.5,bitcoin,BTC
2024-04-25,64481.70703125,64275.01953125,65275.20703125,62783.6328125,32155786816,2073460024828643.2,bitcoin,BTC
2024-04-26,63755.3203125,64485.37109375,64789.65625,63322.3984375,24139372950,1539013454570148.0,bitcoin,BTC
2024-04-27,63419.140625,63750.98828125,63898.36328125,62424.71875,19530783039,1238625476066705.8,bitcoin,BTC
2024-04-28,63113.23046875,63423.515625,64321.484375,62793.59765625,17334827993,1094056994258348.0,bitcoin,BTC
2024-04-29,63841.12109375,63106.36328125,64174.87890625,61795.45703125,26635912073,1700466488094870.5,bitcoin,BTC
2024-04-30,60636.85546875,63839.41796875,64703.33203125,59120.06640625,37840840057,2294549549352394.5,bitcoin,BTC
2024-05-01,58254.01171875,60609.49609375,60780.5,56555.29296875,48439780271,2821811527560509.0,bitcoin,BTC
2024-05-02,59123.43359375,58253.703125,59602.296875,56937.203125,32711813559,1934034736686667.2,bitcoin,BTC
2024-05-03,62889.8359375,59122.30078125,63320.50390625,58848.3125,33172023048,2086183087203688.8,bitcoin,BTC
2024-05-04,63891.47265625,62891.03125,64494.95703125,62599.3515625,20620477992,1317472705784673.0,bitcoin,BTC
2024-05-05,64031.1328125,63892.453125,64610.890625,62955.3046875,18296164805,1171524158588343.2,bitcoin,BTC
2024-05-06,63161.94921875,64038.3125,65494.90234375,62746.23828125,28697928697,1812617115043222.2,bitcoin,BTC
2024-05-07,62334.81640625,63162.76171875,64390.45703125,62285.98046875,25930730982,1616387355042828.8,bitcoin,BTC
2024-05-08,61187.94140625,62332.640625,62986.0859375,60877.12890625,26088172222,1596281553315894.8,bitcoin,BTC
2024-05-09,63049.9609375,61191.19921875,63404.9140625,60648.07421875,25453338161,1604831976780028.0,bitcoin,BTC
2024-05-10,60792.77734375,63055.19140625,63446.7421875,60208.78125,27804954694,1690340419765398.5,bitcoin,BTC
2024-05-11,60793.7109375,60793.35546875,61451.15234375,60492.625,13842272968,841523141534562.2,bitcoin,BTC
2024-05-12,61448.39453125,60793.50390625,61818.15625,60632.6015625,13800459405,848016074230939.6,bitcoin,BTC
2024-05-13,62901.44921875,61451.21875,63422.66015625,60769.83984375,27889181179,1754269913683386.8,bitcoin,BTC
2024-05-14,61552.7890625,62900.7734375,63092.125,61123.765625,28186271527,1734943625759780.8,bitcoin,BTC
2024-05-15,66267.4921875,61553.98828125,66454.453125,61330.41015625,39815167074,2638451273020302.0,bitcoin,BTC
2024-05-16,65231.58203125,66256.109375,66712.4296875,64613.0546875,31573077994,2059561827144665.2,bitcoin,BTC
2024-05-17,67051.875,65231.296875,67459.4609375,65119.31640625,28031279310,1879549836384206.2,bitcoin,BTC
2024-05-18,66940.8046875,67066.2109375,67387.328125,66663.5,16712277406,1118733297718365.1,bitcoin,BTC
2024-05-19,66278.3671875,66937.9296875,67694.296875,65937.1796875,19249094538,1275798555816464.8,bitcoin,BTC
2024-05-20,71448.1953125,66278.7421875,71483.5625,66086.171875,43850655717,3133050214249410.5,bitcoin,BTC
2024-05-21,70136.53125,71443.0625,71946.4609375,69191.125,46932005990,3291648104742822.0,bitcoin,BTC
2024-05-22,69122.3359375,70135.3203125,70623.6953125,68977.6953125,32802561717,2267389690613051.0,bitcoin,BTC
2024-05-23,67929.5625,69121.3046875,70041.2734375,66356.953125,41895680979,2845955279543041.5,bitcoin,BTC
2024-05-24,68526.1015625,67928.1328125,69220.296875,66622.671875,29197308153,2000777703844087.2,bitcoin,BTC
2024-05-25,69265.9453125,68526.921875,69579.3203125,68515.8203125,15473071741,1071756941028495.1,bitcoin,BTC
2024-05-26,68518.09375,69264.2890625,69506.2265625,68183.890625,15628433737,1070830487957428.9,bitcoin,BTC
2024-05-27,69394.5546875,68512.1796875,70597.8828125,68232.5,25870990717,1795305880130661.2,bitcoin,BTC
2024-05-28,68296.21875,69392.1953125,69514.640625,67227.15625,32722265965,2234807034341319.8,bitcoin,BTC
2024-05-29,67578.09375,68296.3515625,68852.4609375,67101.4921875,26707072906,1804813076629753.0,bitcoin,BTC
2024-05-30,68364.9921875,67576.0859375,69500.5390625,67118.078125,29509712534,2017431266842280.8,bitcoin,BTC
2024-05-31,67491.4140625,68362.515625,68999.5625,66633.421875,27387283769,1848406508900764.5,bitcoin,BTC
2024-06-01,67706.9375,67489.609375,67839.765625,67386.1953125,11641495604,788210015266552.8,bitcoin,BTC
2024-06-02,67751.6015625,67710.2734375,68409.1640625,67315.5234375,17110588415,1159269768793008.5,bitcoin,BTC
2024-06-03,68804.78125,67753.8984375,70230.8203125,67589.8359375,32401285324,2229363348936655.5,bitcoin,BTC
2024-06-04,70567.765625,68804.5703125,71047.40625,68564.640625,33149696545,2339300016327432.5,bitcoin,BTC
2024-06-05,71082.8203125,70568.3515625,71735.4140625,70390.7109375,32810771409,2332282168380459.5,bitcoin,BTC
2024-06-06,70757.1640625,71082.84375,71625.734375,70119.125,25223152007,1784718704732675.2,bitcoin,BTC
2024-06-07,69342.5859375,70759.1875,71907.8515625,68507.2578125,36188381096,2509395926088380.5,bitcoin,BTC
2024-06-08,69305.7734375,69324.1796875,69533.3203125,69210.7421875,14262185861,988451822005981.9,bitcoin,BTC
2024-06-09,69647.9921875,69297.4921875,69817.5234375,69160.84375,13534028500,942617911233402.4,bitcoin,BTC
2024-06-10,69512.28125,69644.3125,70146.0703125,69232.421875,20597699541,1431793083596988.0,bitcoin,BTC
2024-06-11,67332.03125,69508.078125,69549.4140625,66123.6015625,37116136345,2499104852260801.0,bitcoin,BTC
2024-06-12,68241.1875,67321.375,69977.890625,66902.453125,34497940694,2354180439263134.0,bitcoin,BTC
2024-06-13,66756.3984375,68243.1015625,68365.78125,66304.5625,28955204146,1932945144809528.0,bitcoin,BTC
2024-06-14,66011.09375,66747.5703125,67294.6484375,65056.89453125,27403884779,1808960407260767.0,bitcoin,BTC
