date,price,market_cap,total_volume,coin_id,symbol
2025-02-13,97836.18856127483,1936842454813.9983,47115618235.19051,bitcoin,BTC
2025-02-14,96561.6639990985,1914315097486.3862,29084371910.690556,bitcoin,BTC
2025-02-15,97488.48148536457,1931656846871.4856,32289906944.92862,bitcoin,BTC
2025-02-16,97569.95169430465,1934308378710.2861,14215311318.346336,bitcoin,BTC
2025-02-17,96149.3484548204,1905012222220.3691,13634794998.739267,bitcoin,BTC
2025-02-18,95776.15723852723,1898997753781.9536,25324374113.08163,bitcoin,BTC
2025-02-19,95495.89153299287,1892702154844.508,38311133144.729355,bitcoin,BTC
2025-02-20,96554.87156259285,1914337919659.5537,27703222487.389572,bitcoin,BTC
2025-02-21,98384.31738240314,1950376106325.3228,24175261969.81266,bitcoin,BTC
2025-02-22,96135.15541305285,1906058197506.3809,42477472950.92155,bitcoin,BTC
2025-02-23,96564.15414290235,1915260330870.798,18464415570.762142,bitcoin,BTC
2025-02-24,96327.46309127835,1909625674815.4763,16643044374.983364,bitcoin,BTC
2025-02-25,91396.76686930266,1814176779160.4363,45539703844.38777,bitcoin,BTC
2025-02-26,88755.7693356979,1759750360550.3337,96742453402.56294,bitcoin,BTC
2025-02-27,83900.11496524839,1664314955447.7466,69277430795.68657,bitcoin,BTC
2025-02-28,84709.14477847965,1679555320077.2097,81960688217.70384,bitcoin,BTC
2025-03-01,84441.9012237131,1674754437110.342,80695237175.07367,bitcoin,BTC
2025-03-02,86005.25629681018,1705564098300.8237,30634474722.6359,bitcoin,BTC
2025-03-03,94261.53286538439,1868321705444.4878,61859112550.80991,bitcoin,BTC
2025-03-04,86124.71418722175,1708198960874.3418,68715362745.4567,bitcoin,BTC
2025-03-05,87310.80531078295,1731441668069.6523,65863356680.42408,bitcoin,BTC
2025-03-06,90604.08098523637,1797706868227.531,51606642859.81411,bitcoin,BTC
2025-03-07,90001.40087607042,1782785866811.654,47555759124.64708,bitcoin,BTC
2025-03-08,86773.33597555371,1720436931689.2776,63216440874.73251,bitcoin,BTC
2025-03-09,86142.9833586432,1708605516770.228,18809360803.37126,bitcoin,BTC
2025-03-10,80751.13893300897,1602073794580.0344,32013406240.51754,bitcoin,BTC
2025-03-11,78783.94057934263,1563547150147.7332,49983692766.22745,bitcoin,BTC
2025-03-12,82799.1080292053,1642997419531.6057,56404462275.083046,bitcoin,BTC
2025-03-13,83884.24578828987,1662502658717.542,41782186208.59073,bitcoin,BTC
2025-03-14,81098.90052436228,1608477373718.186,32583592654.882656,bitcoin,BTC
2025-03-15,83971.70916064628,1665725559905.8198,28571483950.074646,bitcoin,BTC
2025-03-16,84391.69087647168,1674173293916.4658,10761796127.312485,bitcoin,BTC
2025-03-17,82610.61750343916,1638672153483.722,21638031633.118767,bitcoin,BTC
2025-03-18,84075.36559694471,1667799227887.438,19659366246.596867,bitcoin,BTC
2025-03-19,82780.03048688271,1642578274105.806,24557570268.85276,bitcoin,BTC
2025-03-20,86815.44109470697,1721565138141.278,33871216993.304657,bitcoin,BTC
2025-03-21,84270.84358966233,1672550706502.8184,27579127651.06656,bitcoin,BTC
2025-03-22,84009.532917822,1666749159154.2927,18091004975.919056,bitcoin,BTC
2025-03-23,83793.30854192551,1662574363663.653,7771134681.982918,bitcoin,BTC
2025-03-24,85787.70914901773,1702009594329.4495,12617587530.619724,bitcoin,BTC
2025-03-25,87327.72969669085,1732715331970.134,27270889835.1835,bitcoin,BTC
2025-03-26,87520.58391530563,1735368473904.4885,30351832942.705593,bitcoin,BTC
2025-03-27,86960.8555491039,1724854479045.6724,25522877558.700558,bitcoin,BTC
2025-03-28,87227.27158032371,1729729987159.4822,24620445368.489468,bitcoin,BTC
2025-03-29,84359.46915506005,1673182800974.1038,31674486232.097313,bitcoin,BTC
2025-03-30,82679.17255385047,1640665503855.1438,16837439419.924389,bitcoin,BTC
2025-03-31,82356.38111183756,1633996304187.2593,13428975108.070734,bitcoin,BTC
2025-04-01,82514.09365397849,1635076581047.3545,30326148749.91535,bitcoin,BTC
2025-04-02,85237.5876052852,1690602036035.04,29172899851.734768,bitcoin,BTC
2025-04-03,82526.4221526433,1637358764747.381,46332905657.77597,bitcoin,BTC
2025-04-04,83163.98757387721,1652537223074.958,36594464539.14662,bitcoin,BTC
