date,price,market_cap,total_volume,coin_id,symbol
2025-11-15,139.00276447047776,77119490344.96066,8537259511.224628,solana,SOL
2025-11-16,139.59145707175173,77375030096.27234,3515375946.078547,solana,SOL
2025-11-17,137.4975729739525,76214849400.6984,4915090778.811192,solana,SOL
2025-11-18,130.68858764032888,72426094213.65282,7514441110.728822,solana,SOL
2025-11-19,140.60155456478054,77934016916.19258,7721886683.591121,solana,SOL
2025-11-20,136.43470513687834,75584893191.21877,6188944241.966924,solana,SOL
2025-11-21,133.60337500165332,74844768194.70718,8684394409.126163,solana,SOL
2025-11-22,128.48401421465474,71848950731.73575,10313891229.218143,solana,SOL
2025-11-23,127.62806806856854,71349952756.82495,3630542144.0941753,solana,SOL
2025-11-24,130.84897517738048,73167233648.17833,3991552010.3336043,solana,SOL
2025-11-25,138.3677130507636,77367322523.65762,6431600335.735572,solana,SOL
2025-11-26,139.0062092062614,77771514073.10704,4808709077.41163,solana,SOL
2025-11-27,142.92252259467037,79924794823.57224,5998548898.056817,solana,SOL
2025-11-28,140.8298940142595,78777617550.5348,3819216595.133187,solana,SOL
2025-11-29,137.46833804153275,76938097243.95398,5365486933.184003,solana,SOL
2025-11-30,136.08875145366935,76118417197.87218,2718227800.811016,solana,SOL
2025-12-01,134.57716421907872,75637190873.42696,3460372072.935849,solana,SOL
2025-12-02,126.74719818442522,70966196633.84346,6851062003.639887,solana,SOL
2025-12-03,138.68381774415911,77653527014.84753,6918508704.607495,solana,SOL
2025-12-04,145.03241215787318,81208229329.41095,6455831919.236613,solana,SOL
2025-12-05,139.0035856702843,77830815983.02031,4788215430.254418,solana,SOL
2025-12-06,133.19940782316152,74566520034.03679,4920570364.5913,solana,SOL
2025-12-07,132.21332316930986,73993239897.54666,2360842992.9684343,solana,SOL
2025-12-08,131.63667798299971,73739848612.42871,4308900064.808368,solana,SOL
2025-12-09,133.2876975493966,74811646828.87148,5265200020.040177,solana,SOL
2025-12-10,138.01268988378362,77575668532.51553,6612919737.71527,solana,SOL
2025-12-11,136.51252974936924,76726311580.65881,6601409509.828041,solana,SOL
2025-12-12,136.44042727909604,76743870887.65125,6531004549.074007,solana,SOL
2025-12-13,132.4674041542392,74491666029.22806,5827290706.453272,solana,SOL
2025-12-14,133.22106900469535,74841360307.62788,2259785741.0493307,solana,SOL
2025-12-15,129.57660231376835,72771108472.71634,2811466749.906449,solana,SOL
