date,price,open,high,low,total_volume,market_cap,coin_id,symbol
2024-02-13,112.57930755615234,111.97724914550781,114.8106460571289,108.49378204345703,2709494768,305033044808.45764,solana,SOL
2024-02-14,116.97632598876953,112.57496643066406,118.3277816772461,110.87847137451172,2391239729,279718438056.8009,solana,SOL
2024-02-15,113.69940948486328,116.98538970947266,118.3064956665039,111.77587890625,2471486178,281006518988.6017,solana,SOL
2024-02-16,110.44591522216797,113.6730728149414,114.25308990478516,108.34872436523438,1921299579,212199690418.621,solana,SOL
2024-02-17,108.98401641845703,110.44330596923828,111.07304382324219,106.1252212524414,1370606631,149374215576.1501,solana,SOL
2024-02-18,112.17467498779297,108.98760223388672,114.00138092041016,107.60671997070312,1516321334,170092852818.50665,solana,SOL
2024-02-19,111.4853286743164,112.17882537841797,114.71797943115234,111.08141326904297,1898655220,211672201240.90652,solana,SOL
2024-02-20,108.45964050292969,111.48344421386719,112.0367431640625,104.89022827148438,2656976089,288174671437.8201,solana,SOL
2024-02-21,105.1252212524414,108.45266723632812,108.45266723632812,100.41201782226562,2246861647,236201827764.4999,solana,SOL
2024-02-22,101.66979217529297,105.12030792236328,106.99540710449219,101.64240264892578,1830636004,186120382075.2888,solana,SOL
2024-02-23,99.95469665527344,101.67462158203125,103.02283477783203,98.9583511352539,1483285120,148261314222.88086,solana,SOL
2024-02-24,104.1335220336914,99.95437622070312,104.64539337158203,98.585205078125,1083637514,112842990940.65358,solana,SOL
2024-02-25,103.4534912109375,104.1326675415039,104.32994079589844,102.17102813720703,909662462,94107757517.43677,solana,SOL
2024-02-26,109.91853332519531,103.4507064819336,110.58035278320312,100.4552001953125,2334408023,256594706070.72882,solana,SOL
2024-02-27,108.3880844116211,109.91878509521484,112.2047119140625,105.89693450927734,2723995106,295248611485.97076,solana,SOL
2024-02-28,118.05220031738281,108.39923858642578,118.05220031738281,107.46087646484375,5029492553,593742662361.5411,solana,SOL
2024-02-29,125.71151733398438,118.2387466430664,134.4656982421875,117.66751861572266,6950123902,873710621379.612,solana,SOL
2024-03-01,129.9904022216797,125.63670349121094,137.60186767578125,125.63670349121094,4743077738,616554582931.3147,solana,SOL
2024-03-02,129.70018005371094,129.98231506347656,131.45486450195312,127.6808853149414,2741772676,355608409743.54486,solana,SOL
2024-03-03,130.45086669921875,129.7933807373047,132.062744140625,125.76932525634766,2875614168,375126360508.15283,solana,SOL
2024-03-04,133.194580078125,130.42323303222656,134.87417602539062,127.79814147949219,4429758300,590019796616.0889,solana,SOL
2024-03-05,125.70671081542969,133.15936279296875,142.65093994140625,109.53875732421875,8980294607,1128883297199.5117,solana,SOL
2024-03-06,130.7420196533203,125.69921112060547,134.8106231689453,120.31733703613281,5146680159,672887358497.3317,solana,SOL
2024-03-07,143.9778594970703,130.7420196533203,149.2247314453125,130.70175170898438,7111178325,1023852233735.4618,solana,SOL
2024-03-08,145.2400360107422,143.97727966308594,152.4179229736328,142.53614807128906,5474659974,795139811770.3289,solana,SOL
2024-03-09,144.6072540283203,145.24032592773438,149.35128784179688,144.29037475585938,2946261381,426050767956.0968,solana,SOL
2024-03-10,144.5151824951172,144.60733032226562,148.6719207763672,140.83999633789062,3407621981,492453112458.58777,solana,SOL
2024-03-11,148.75096130371094,144.5144805908203,150.01797485351562,137.6329803466797,5383624184,800819272667.9064,solana,SOL
2024-03-12,151.01544189453125,148.7496795654297,154.94229125976562,142.87014770507812,6413617983,968555353845.4573,solana,SOL
2024-03-13,163.83981323242188,151.01544189453125,166.44876098632812,148.94561767578125,5917471836,969517480418.3566,solana,SOL
2024-03-14,176.67974853515625,163.83993530273438,177.8926239013672,160.23355102539062,8399967972,1484104228996.3264,solana,SOL
2024-03-15,182.96469116210938,176.67974853515625,188.50135803222656,165.4127197265625,14093348410,2578585139275.6553,solana,SOL
2024-03-16,181.88034057617188,182.96751403808594,197.65599060058594,177.46127319335938,11794134069,2145121121270.7517,solana,SOL
2024-03-17,202.12356567382812,181.88034057617188,204.29254150390625,179.22560119628906,10876218562,2198340076799.3154,solana,SOL
2024-03-18,195.9927520751953,202.1226043701172,209.69606018066406,194.8494110107422,11137647410,2182898167529.0713,solana,SOL
