date,price,market_cap,total_volume,coin_id,symbol
2026-02-06,1820.5693215574129,222173472032.49194,56436780638.71162,ethereum,ETH
2026-02-07,2060.7349645674162,248748810142.69376,65078857952.97811,ethereum,ETH
2026-02-08,2091.040353689534,252512585445.0919,40809475718.479546,ethereum,ETH
2026-02-09,2095.1305644770564,253245483591.40662,19286038988.323254,ethereum,ETH
2026-02-10,2104.4577921908335,253911548161.0788,25731465365.115547,ethereum,ETH
2026-02-11,2018.9237788543585,243588125385.22418,23450565532.755688,ethereum,ETH
2026-02-12,1939.4321739711042,234040160527.6989,23726060466.889244,ethereum,ETH
