date,price,market_cap,total_volume,coin_id,symbol
2025-11-15,3106.601287865052,376914348602.9677,45035057857.22528,ethereum,ETH
2025-11-16,3170.1129807404664,382460593691.1359,19159039393.797318,ethereum,ETH
2025-11-17,3101.686799467,374435480317.1664,30332766567.569996,ethereum,ETH
2025-11-18,3021.3021576301335,364584346775.1596,39723178401.3899,ethereum,ETH
2025-11-19,3117.2225871583155,375944681644.45795,40531057646.65946,ethereum,ETH
2025-11-20,3017.7483614097955,363582387251.9456,39173261740.03148,ethereum,ETH
2025-11-21,2832.068358334293,342850824587.94714,41625324784.96392,ethereum,ETH
2025-11-22,2764.735218675169,333838550169.9107,49920072209.17851,ethereum,ETH
2025-11-23,2768.6178294996353,334406681065.5302,15277324087.122278,ethereum,ETH
2025-11-24,2799.8149340924633,338053142179.2997,20170660685.078762,ethereum,ETH
2025-11-25,2953.327645752226,357075035362.9083,32699089921.17828,ethereum,ETH
2025-11-26,2955.046469321271,356667974212.06213,23359001752.780495,ethereum,ETH
2025-11-27,3027.477249132549,365169111971.85614,21096541004.26908,ethereum,ETH
2025-11-28,3015.6118196920934,364039549664.8285,16563145331.437607,ethereum,ETH
2025-11-29,3033.135645414151,366085841851.63794,20184482703.163284,ethereum,ETH
2025-11-30,2991.2330117032593,361028197396.32526,12634811464.603792,ethereum,ETH
2025-12-01,2992.8341859495977,361717332403.24976,11969903297.072994,ethereum,ETH
2025-12-02,2799.0367919901605,338070271128.47876,37491168510.09445,ethereum,ETH
2025-12-03,2995.751149322771,362328288750.46765,27518473791.0893,ethereum,ETH
2025-12-04,3195.4089919085554,385765592436.29456,30631265956.32816,ethereum,ETH
2025-12-05,3133.698235618616,378383036980.8902,27914236368.18745,ethereum,ETH
2025-12-06,3022.6564205232035,365052689720.72375,27606937714.571938,ethereum,ETH
2025-12-07,3039.358573133242,366786121380.61804,11344831475.877346,ethereum,ETH
2025-12-08,3052.976330436545,368370755428.0437,19363787894.936527,ethereum,ETH
2025-12-09,3125.321462183988,377375140776.36505,25795397174.943024,ethereum,ETH
2025-12-10,3322.469217836626,401258190140.9822,34333058805.569298,ethereum,ETH
2025-12-11,3326.260211637518,401626272710.5994,31463676851.579826,ethereum,ETH
2025-12-12,3236.0986208578574,390987823733.6906,29805046870.5563,ethereum,ETH
2025-12-13,3085.316694358101,372579486045.7623,25083388430.41613,ethereum,ETH
2025-12-14,3115.225428835284,375945831930.448,10086309656.917572,ethereum,ETH
2025-12-15,3065.4912355563642,369527922358.0662,17335964454.11176,ethereum,ETH
2025-12-16,2964.488557692104,357786162656.10895,30596317990.005627,ethereum,ETH
2025-12-17,2964.2627915054686,357203725063.4325,25164041190.99286,ethereum,ETH
2025-12-18,2827.8041755024283,341276921875.79224,26836168118.615532,ethereum,ETH
2025-12-19,2826.5948465107654,340860880536.8325,30216518962.55933,ethereum,ETH
2025-12-20,2976.796869557769,359446094628.4511,28622463845.69733,ethereum,ETH
2025-12-21,2977.162263207443,359186900440.0731,9046978663.974163,ethereum,ETH
2025-12-22,3001.6008377810244,362519624877.1173,11543764853.447407,ethereum,ETH
2025-12-23,3005.786780691547,362935746891.54517,21151887764.71905,ethereum,ETH
2025-12-24,2965.193660040505,357776430595.61365,23108092257.350555,ethereum,ETH
2025-12-25,2945.9878145019857,355561429533.282,14559942619.27862,ethereum,ETH
2025-12-26,2904.252344599994,350482502400.1858,11886240841.229004,ethereum,ETH
2025-12-27,2926.695639112761,353065144652.60986,19054108852.23608,ethereum,ETH
2025-12-28,2948.8621262576116,355905880030.65027,7543851649.166359,ethereum,ETH
2025-12-29,2947.8597605720547,355840750170.65576,9618433974.572294,ethereum,ETH
2025-12-30,2934.215601758931,354107974761.1568,28073445244.481457,ethereum,ETH
2025-12-31,2970.055474481003,358439004174.8074,18029693561.070618,ethereum,ETH
